museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,email,twitter,gmaps_latitud,gmaps_longitud,link_sic,fecha_mod,aprox_loc
1046,Museo José Guadalupe Posada,Arte,9/16/1972,Instituto Cultural de Aguascalientes ,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Jardín del Encino s/n lado Nte.,Barrio del Encino,20240,449  915 45 56,,,museoposada@gmail.com,,21.87526,-102.29284,http://sic.gob.mx/ficha.php?table=museo&table_id=1046,9/26/2022 07:52,
1169,Museo Nacional de la Muerte,Arte,6/19/2007,Universidad Autónoma de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Rivero y Gutiérrez esq. Morelos,Centro,20000,449 910 74 00 ext. 7208,http://museonacionaldelamuerte.uaa.mx,,japadill@correo.uua.mx,uaa_mx,21.88397,-102.29551,http://sic.gob.mx/ficha.php?table=museo&table_id=1169,9/12/2022 06:07,
1453,Museo de Sitio los Arquitos,Historia,11/1/1994,Instituto Cultural de Aguascalientes/Centro Cultural Los Arquitos,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Alameda y Héroe de Nacozari,Barrio La Purísima,20000,449 916 92 01,https://www.aguascalientes.gob.mx/temas/cultura/,,c.culturallosarquitos@gmail.com,,21.88298,-102.28221,http://sic.gob.mx/ficha.php?table=museo&table_id=1453,11/22/2022 07:05,
2157,Museo Nacional de los Pueblos Mágicos,,9/12/2019,Ayuntamiento de Calvillo/Secretaría de Turismo,1,Aguascalientes,3,Calvillo,1,Calvillo,Av. Benito Juárez 312,Centro,20800,495 686 00 06,,,municipiodecalvillo@gmail.com,,21.84691,-102.71875,http://sic.gob.mx/ficha.php?table=museo&table_id=2157,3/24/2023 03:02,
1047,Museo Comunitario del Deporte e Historia,Especializado,11/20/1994," Asociación Civil de Pabellonences, A.C.",1,Aguascalientes,6,Pabellón de Arteaga,1,Pabellón de Arteaga,Av. 16 de Septiembre s/n esq. Irrigación,Centro,20660,"465 117 30 12,",,,museocomunitariodeldeporteac@gmail.com,,22.14663,-102.27521,http://sic.gob.mx/ficha.php?table=museo&table_id=1047,6/7/2021 03:57,
1048,Museo de la Insurgencia,Historia,10/17/1964,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,1,Aguascalientes,7,Rincón de Romos,30,Pabellón de Hidalgo,Plaza 24 de Enero  núm. 19,Centro,20436,465 958 18 02,,,museodelainsurgencia@hotmail.com,,22.17491,-102.34162,http://sic.gob.mx/ficha.php?table=museo&table_id=1048,6/23/2022 03:07,
620,Caracol Museo de Ciencias ,Ciencia y tecnología,5/4/1998,"Caracol Centro Científico y Cultural, A.C.",2,Baja California,1,Ensenada,1,Ensenada,Av. Club Rotario 3,Centro,22800,646 152 19 93,http://www.caracolbc.org/,,contacto@caracolbc.org,MuseoCaracol,31.85705,-116.62031,http://sic.gob.mx/ficha.php?table=museo&table_id=620,12/12/2023 04:52,
600,Museo de Historia de Ensenada,Arqueología,5/20/1993,"Centro Social Cívico y Cultural Riviera, A.C.",2,Baja California,1,Ensenada,1,Ensenada,Blvd. Lázaro Cárdenas 1421,Centro,22800,646 177 05 94,http://museoens.com/,,museoenelriviera@hotmail.com,,31.85859,-116.61976,http://sic.gob.mx/ficha.php?table=museo&table_id=600,9/21/2022 05:32,
932,Museo Histórico Regional de Ensenada,Historia,5/15/1995,Secretaría de Cultura/INAH,2,Baja California,1,Ensenada,1,Ensenada,Av. Gastélum s/n,Centro,22800,646 178 36 92,,,mhre.inah@gmail.com,,31.8633,-116.62813,http://sic.gob.mx/ficha.php?table=museo&table_id=932,12/5/2023 03:59,
1809,Museo Katsuo,Ciencia y tecnología,3/10/2016,Facultad de Ciencias Marinas de la Universidad Autónoma de Baja California,2,Baja California,1,Ensenada,1,Ensenada,Carr. Transpeninsular Ensenada-Tijuana 3917,Col. Playitas,22860,646 174 45 70,,,museokatsuo@hotmail.com,KatsuoMuseo,31.86424,-116.66712,http://sic.gob.mx/ficha.php?table=museo&table_id=1809,5/16/2023 03:21,
653,Museo del Estero,Antropología,4/1/1987,"Fundación Estero Beach, A.C.",2,Baja California,1,Ensenada,1,Ensenada,Playas del Estero s/n,Ex- Ejido Chapultepec,22785,646 176 62 44,https://hotelesterobeach.com/resort/museo-de-historia-mexicana/,,linda.v@hotelesterobeach.com,,31.77738,-116.61688,http://sic.gob.mx/ficha.php?table=museo&table_id=653,5/16/2023 03:09,
931,Museo de la Misión de Nuestra Señora de Guadalupe (temporalmente cerrado),Historia,8/31/1991,Secretaría de Cultura/INAH,2,Baja California,1,Ensenada,1,Ensenada,"Carr. Federal 3, Mza.025",Col. Valle de Guadalupe,22750,646 150 31 50,https://mediateca.inah.gob.mx/repositorio/islandora/object/museo%3A3259,,,,32.09246,-116.57473,http://sic.gob.mx/ficha.php?table=museo&table_id=931,12/12/2023 05:00,
1662,Museo de la Vid y el Vino,Especializado,8/3/2012,"Patronato del Museo de la Vid y el Vino de Baja California, A.C.",2,Baja California,1,Ensenada,1,Ensenada,Carr. Federal Tecate-Ensenada Km 81.3,Col. Valle de Guadalupe,22750,646 156 81 65,https://museodelvinobc.com/,,info@museodelvinobc.com,,32.06974,-116.58673,http://sic.gob.mx/ficha.php?table=museo&table_id=1662,10/18/2023 05:35,
1281,Museo de Antigua Aduana Marítima de Ensenada,Historia,1/1/1992,Secretaría de Cultura/INAH,2,Baja California,1,Ensenada,1,Ensenada,Av. Ryerson 99,Centro,22800,646 178 25 31,,,cominabc@yahoo.com,,31.86413,-116.63014,http://sic.gob.mx/ficha.php?table=museo&table_id=1281,12/12/2023 04:55,
592,Museo Comunitario Ruso,Antropología,8/1/1991,,2,Baja California,1,Ensenada,114,Francisco Zarco (Valle de Guadalupe),Principal 276,Poblado Francisco Zarco,22750,(646) 155 20 30,,https://www.facebook.com/pg/pilirutavino/photos/?tab=album&album_id=395494427194684,franhuer@hotmail.com,,32.09084,-116.58332,http://sic.gob.mx/ficha.php?table=museo&table_id=592,6/8/2021 06:25,
742,"Museo Comunitario Altagracia A. de Arauz, San Vicente Ferrer",Antropología,1/1/1991,Ayuntamiento de San Vicente,2,Baja California,1,Ensenada,243,San Vicente,"Parque Central de San Vicente, km. 90 al Sur de Ensenada",,22900,"(646) 165 66 39, 165 66 35",,,,,31.33648,-116.25538,http://sic.gob.mx/ficha.php?table=museo&table_id=742,6/8/2021 05:23,
886,Museo Sol del Niño,Ciencia y tecnología,9/21/1998,"Patronato Museo Sol del Niño, A.C.",2,Baja California,2,Mexicali,1,Mexicali,Alfonso Esquer Sández s/n,Centro,21010,,,, contacto@sol.org.mx,soldelnino,32.6529,-115.4732,http://sic.gob.mx/ficha.php?table=museo&table_id=886,10/25/2023 08:20,
328,Instituto  de Investigaciones Culturales Museo UABC,Antropología,10/30/1979,Universidad Autónoma de Baja California (UABC),2,Baja California,2,Mexicali,1,Mexicali,Calle L s/n esq. Av. Reforma,Col. Nueva,21100,686 552 57 15,http://iic-museo.uabc.mx/,,educativos.iic-museo@uabc.edu.mx,,32.66512,-115.45637,http://sic.gob.mx/ficha.php?table=museo&table_id=328,11/16/2023 08:25,
1689,Museo Regional Los Pioneros de Mexicali,Historia,3/15/1987,Particular,2,Baja California,2,Mexicali,1,Mexicali,Blvd. Adolfo López Mateos 2201,Justo Sierra,21380,686 561 71 25,,, museojaviergalvan@gmail.com,,32.61433,-115.44083,http://sic.gob.mx/ficha.php?table=museo&table_id=1689,10/18/2023 06:07,
930,Museo Comunitario El Asalto a las Tierras,Historia,10/24/1989,Ayuntamiento de Mexicali,2,Baja California,2,Mexicali,225,Michoacán de Ocampo,Venustiano Carranza s/n esq. Lázaro Cárdenas,Centro,21700,,,,cavb_52@hotmail.com,,32.4653108,-115.3111766,http://sic.gob.mx/ficha.php?table=museo&table_id=930,4/17/2020 14:43,X
935,Museo Comunitario  Cucaphá Juan García Aldama ,Antropología,9/10/1991,,2,Baja California,2,Mexicali,284,San Felipe,Carr. Mexicali-San Felipe km. 57,,21730,(686) 543 76 17,,,,,31.03824,-114.8676,http://sic.gob.mx/ficha.php?table=museo&table_id=935,8/20/2021 04:03,
114,Museo Comunitario Tecate,Historia,10/12/1997,Ayuntamiento de Tecate/Centro Cultural Tecate (CECUTEC),2,Baja California,3,Tecate,1,Tecate,Tláloc 400,Col. Cuauhtémoc,21480,665 521 31 91,https://www.carem.org/,,info@carem.org,,32.56996,-116.61938,http://sic.gob.mx/ficha.php?table=museo&table_id=114,12/5/2022 05:55,
2081,Museo de Sitio de la Zona Arqueológica El Vallecito,,1000-01-01,Secretaría de Cultura/INAH,2,Baja California,3,Tecate,65,Ejido Jacumé,Población La Rumorosa,,21510,"686 552 35 91,  686 552 35 92",https://www.inah.gob.mx/zonas/zona-arqueologica-el-vallecito,,direccion.bc@inah.gob.mx,,32.53613,-116.08405,http://sic.gob.mx/ficha.php?table=museo&table_id=2081,12/5/2023 04:00,
1283,Museo de Sitio Campo Alaska,Historia,3/19/2005,Centro INAH de Baja California,2,Baja California,3,Tecate,107,La Rumorosa,Camino Nacional Circuito Alaska s/n,Poblado La Rumorosa,21510,"686 552 35 91,  686 552 35 92",https://lugares.inah.gob.mx/es/museos-inah/museo/17793-museo-de-sitio-campo-alaska.html,,jbendimez.bc@inah.gob.com; daniel_aguilar@inah.gob.mx,,32.55108,-116.04889,http://sic.gob.mx/ficha.php?table=museo&table_id=1283,12/5/2023 04:00,
1917,Museo del Coleccionista de Tijuana,,4/29/2017,,2,Baja California,4,Tijuana,1,Tijuana,Hermenegildo Galeana 8186 (Calle 7ma),Centro,22000,664 685 99 26,https://mucoti.com.mx/,,informes@mucoti.com.mx,https://twitter.com/mucotijuana,32.52967,-117.03678,http://sic.gob.mx/ficha.php?table=museo&table_id=1917,10/20/2023 07:30,
598,Museo de las Californias,Historia,2/24/2000,Secretaría de Cultura/Centro Cultural Tijuana (CECUT),2,Baja California,4,Tijuana,1,Tijuana,Paseo de los Héroes 9350,Zona Urbana Río Tijuana,22010,664 687 96 52,https://www.cecut.gob.mx/emuseo.php,,museocalifornias@cecut.gob.mx,,32.53028,-117.02289,http://sic.gob.mx/ficha.php?table=museo&table_id=598,5/16/2023 02:54,
1327,Museo de Historia de Tijuana,Historia,11/27/2010,Instituto Municipal de Arte y Cultura de Tijuana (IMAC),2,Baja California,4,Tijuana,1,Tijuana,Calle 2a. s/n esq. Constitución,Centro,22000,664 638 10 52,https://imac.tijuana.gob.mx/museo.aspx,,museo.imactijuana@gmail.com,,32.53472,-117.03876,http://sic.gob.mx/ficha.php?table=museo&table_id=1327,12/12/2023 04:57,
2055,Museo de la Lucha Libre Mexicana,Especializado,4/29/2017,Museo de la Siete A.C.,2,Baja California,4,Tijuana,1,Tijuana,Hermenegildo Galeana 8186,Centro,22000,664  685 99 26 ,https://www.mullme.com/,,mullme664@gmail.com,mullme664,32.52961,-117.03679,http://sic.gob.mx/ficha.php?table=museo&table_id=2055,5/4/2023 07:25,
1276,Museo Interactivo Tijuana El Trompo,Ciencia y tecnología,12/9/2008,"Museo Interactivo Tijuana, A.C.",2,Baja California,4,Tijuana,1,Tijuana,Libramiento Los Insurgentes s/n,"Zona Río Tijuana, Tercera Etapa",22226,664 634 34 76,http://www.eltrompo.org,, info@eltrompo.org,trompoMuseo,32.49527,-116.93828,http://sic.gob.mx/ficha.php?table=museo&table_id=1276,10/18/2023 05:56,
340,Museo de Cera de Tijuana,Especializado,2/5/1993,"Museo de Cera de Tijuana, S.A. de C.V.",2,Baja California,4,Tijuana,1,Tijuana,Calle Primera núm. 8281,Centro,22000,664 688 24 78,https://museodeceratijuana.com/,,museodeceradetijuana@hotmail.com,,32.53655,-117.03578,http://sic.gob.mx/ficha.php?table=museo&table_id=340,9/21/2022 05:25,
934,Museo de sitio Wa-Kuatay,Historia,5/20/1995,Secretaría de Cultura/INAH,2,Baja California,5,Playas de Rosarito,1,Playas de Rosarito,Mar Adriático s/n,Centro,22710,"686 552 35 91, 686 552 35 92",,,buzon.inah.bc@gmail.com; inahbajacalifornia@gmail.com,,32.34188,-117.05851,http://sic.gob.mx/ficha.php?table=museo&table_id=934,12/5/2023 04:14,
1510,Museo Juan Rodríguez Cabrillo,Ciencia y tecnología,8/27/2011,,2,Baja California,6,San Quintín,1,San Quintín,Bahía a San Quintín s/n,Col. Ballenas,22950,616 165 60 58,,,luisartrgz@live.com,,31.51758,-115.9751,http://sic.gob.mx/ficha.php?table=museo&table_id=1510,8/21/2023 05:21,
1825,Museo Casa Amarilla,,1/1/1991,,3,Baja California Sur,1,Comondú,1,Ciudad Constitución,Agustín Olachea s/n,Centro,23600,,,,,,25.0331778,-111.6765714,http://sic.gob.mx/ficha.php?table=museo&table_id=1825,5/17/2023 03:35,X
2298,Museo Comunitario de La Purísima,,12/16/2022,,3,Baja California Sur,1,Comondú,244,La Purísima,Calle Benito Juárez s/n,Centro,23820,,,,contacto@comondu.gob.mx,,26.18538,-112.07599,http://sic.gob.mx/ficha.php?table=museo&table_id=2298,1/4/2023 12:15,
1696,Museo Regional de Mulegé,Arqueología,1/1/1993,Delegación Municipal de Pueblo Mulegé/Comité Pro Museo Comunitario de Mulegé,3,Baja California Sur,2,Mulegé,1,Santa Rosalía,Cananea s/n,Centro,23900, 615 152 03 28 Dir.de Cultura,,,ag_bean66@hotmail.com,,26.89194,-111.98213,http://sic.gob.mx/ficha.php?table=museo&table_id=1696,11/7/2023 04:49,
1070,Museo de Historia de la Minería ,Ciencia y tecnología,10/19/1996,Ayuntamiento de Mulegé,3,Baja California Sur,2,Mulegé,1,Santa Rosalía,Jean Mitchell Cousteau 1 y Luis Pasteur,Col. Mesa Francia,23920,(615) 152 29 99,,,hidalgocamachoguillermo@hotmail.com,,27.33885,-112.26723,http://sic.gob.mx/ficha.php?table=museo&table_id=1070,10/11/2018 04:38,
2394,"Museo Comunitario Sal, Arena y Mar (MUSAM)",,6/10/2023,Universidad Autónoma de Baja California Campus Guerrero Negro,3,Baja California Sur,2,Mulegé,66,Guerrero Negro,Emiliano Zapta 2811,Col. Marcelo Rubio Ruiz,23940,615 112 21 20,,,hola@musam.mx,,27.96194,-114.05439,http://sic.gob.mx/ficha.php?table=museo&table_id=2394,7/20/2023 07:11,
1073,Museo de las Pinturas Rupestres de San Ignacio,Arqueología,11/1/1994,Secretaría de Cultura/INAH,3,Baja California Sur,2,Mulegé,149,San Ignacio,Profr. Gilberto Valdivia Peña s/n,Col. San Ignacio,23930,615 154 02 22,https://culturabcs.gob.mx/recintos-bcs/mulege?page=3,,keey__75@hotmail.com,,27.28334,-112.89877,http://sic.gob.mx/ficha.php?table=museo&table_id=1073,12/12/2023 05:07,
2082,Museo de sitio de la Zona Arqueológica de Sierra San Francisco,,1000-01-01,Secretaría de Cultura/INAH,3,Baja California Sur,2,Mulegé,149,San Ignacio,Camino a San Francisco de la Sierra,,23930,615 154 02 22,,,sierrasanfrancisco@hotmail.com,,27.28159,-112.89367,http://sic.gob.mx/ficha.php?table=museo&table_id=2082,12/12/2023 05:08,
936,Museo Regional de Antropología e Historia de Baja California Sur,Arqueología,3/30/1981,Secretaría de Cultura/INAH,3,Baja California Sur,3,La Paz,1,La Paz,Av. Ignacio Manuel Altamirano s/n  esq. 5 de Mayo y Constitución,Centro,23000,612 122 01 62,,, museorahbcs@gmail.com,,24.15956,-110.30881,http://sic.gob.mx/ficha.php?table=museo&table_id=936,12/12/2023 05:28,
1876,Museo de la Ballena y Ciencias del Mar,Ciencia y tecnología,3/21/2016,"Ciencias del Mar, A.C.",3,Baja California Sur,3,La Paz,1,La Paz,"Antonio Navarro 855, Unidad Cultural Prof. Jesús Castro Agúndez",Centro,23000,612 348 5238,http://www.museodelaballena.org/,,museodelaballena@gmail.com,,24.14852,-110.31721,http://sic.gob.mx/ficha.php?table=museo&table_id=1876,12/12/2023 05:04,
2183,Museo de Arte de Baja California Sur,,11/12/2020,Gobierno del Estado,3,Baja California Sur,3,La Paz,1,La Paz,Calle 5 de Mayo s/n,Col. Centro,23000,612 122 41 76,,,redesmuabcs@gmail.com; gabrielavaladez.muabcs@bcs.gob.mx,,24.15836,-110.30738,http://sic.gob.mx/ficha.php?table=museo&table_id=2183,3/10/2022 06:42,
560,Museo de Historia Regional de Todos Santos,Historia,10/6/1978,Centro Cultural Profr. Néstor Agúndez Martínez/Ayuntamiento de La Paz,3,Baja California Sur,3,La Paz,3,Todos Santos,Benito Juárez s/n,Centro,23305,(612) 145 00 59,,,culturaenlapaz@hotmail.com,,23.45098,-110.22327,http://sic.gob.mx/ficha.php?table=museo&table_id=560,8/21/2019 08:03,
2296,Museo Ruta de Plata Centro Regional Interpretativo,,11/20/2019,"Fundación ALUMBRA / Ándale La Paz, AC ",3,Baja California Sur,3,La Paz,911,El Triunfo,Ayuntamiento (entre Progreso y Márquez de León),Centro,23210,612 229 55 87,https://www.museorutadeplata.com/,,info@museorutadeplata.com,,23.80208,-110.10889,http://sic.gob.mx/ficha.php?table=museo&table_id=2296,12/16/2022 07:34,
1270,Museo de la Música de El Triunfo,Historia,12/12/2003,Instituto Sudcaliforniano de Cultura,3,Baja California Sur,3,La Paz,911,El Triunfo,Hidalgo esq. Carr. al Sur,Centro ,23210,612 127 23 99,https://culturabcs.gob.mx/recinto/28,,,,23.8037,-110.10845,http://sic.gob.mx/ficha.php?table=museo&table_id=1270,12/20/2022 10:07,
2295,Museo del Vaquero de Las Californias (MuVaCa),,11/5/2022,"Fundación ALUMBRA / Ándale La Paz, AC ",3,Baja California Sur,3,La Paz,911,El Triunfo,Ayuntamiento (entre Gral. Márquez de León y Minero Núm. 1),,23210,612 218 81 78,https://www.muvaca.com/,,info@muvaca.com,,23.80294,-110.1085,http://sic.gob.mx/ficha.php?table=museo&table_id=2295,12/12/2023 05:12,
1128,Museo de Historia Natural de Cabo San Lucas,Ciencia y tecnología,10/9/2006,Ayuntamiento de Los Cabos,3,Baja California Sur,8,Los Cabos,54,Cabo San Lucas,"Calle Lázaro Cárdenas s/n, Plaza Amelia Wilkes",Centro,23410,624 105 06 61,,,museohist@outlook.com,,22.8829,-109.91464,http://sic.gob.mx/ficha.php?table=museo&table_id=1128,9/26/2022 08:43,
2395,Museo de la Casa de Piedra,,4/1/2023,,3,Baja California Sur,9,Loreto,1,Loreto,Francisco I Madero 8,Centro Histórico,23880,,,,,,26.00934,-111.34197,http://sic.gob.mx/ficha.php?table=museo&table_id=2395,9/27/2023 08:23,
1072,Museo de las Misiones Jesuitas en Baja California,Historia,12/1/1973,Secretaría de Cultura/INAH,3,Baja California Sur,9,Loreto,1,Loreto,Salvatierra Misioneros 16,Centro,23880,613 135 04 41,,,joaquin_munoz@inah.gob.mx,,26.01025,-111.34366,http://sic.gob.mx/ficha.php?table=museo&table_id=1072,10/18/2023 06:41,
2150,Museo comunitario de Bécal,,10/8/2011,,4,Campeche,1,Calkiní,4,Bécal,"Calle 30 s/n, frente a la glorieta de la artesana",Col. Pablo García,24930,996 102 8574,http://www.museodebecal.com,https://www.facebook.com/museodebecal,museodebecal@gmail.com; jorgejagongora@gmail.com; borrayoaxa@gmail.com,museodebecal,20.4356,-90.0273,http://sic.gob.mx/ficha.php?table=museo&table_id=2150,10/25/2023 03:46,
1760,Museo Universitario de la Vida ,Ciencia y tecnología,12/18/2014,Universidad Autónoma de Campeche,4,Campeche,2,Campeche,1,San Francisco de Campeche,Av. Lázaro Cárdenas 65,Fracc. Bugambilias,24090,981 811 98 00 ext. 1050610,https://muvi.uacam.mx/,,muvi@uacam.mx,muvi_uac,19.82849,-90.52628,http://sic.gob.mx/ficha.php?table=museo&table_id=1760,10/12/2022 04:00,
126,Museo de Arquitectura Maya Baluarte de Nuestra Señora de la Soledad,Arqueología,1/1/1958,Secretaría de Cultura/INAH,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 8 s/n entre 57 y 59,Centro,24000,981 816 91 36,,https://lugares.inah.gob.mx/lugar-112-es,museos.camp@inah.gob.mx,,19.84639,-90.53787,http://sic.gob.mx/ficha.php?table=museo&table_id=126,12/12/2023 05:35,
1749,Museo Baluarte de Santa Rosa,Arte,1/1/1997,Ayuntamiento de Campeche/Dirección de Cultura/Coordinación de Patrimonio,4,Campeche,2,Campeche,1,San Francisco de Campeche,"Cto. Baluartes, Calle 67 s/n",Barrio San Román,24000,(981) 816 64 35,,http://www.campeche.travel/baluarte-de-santa-rosa/,campecheamg@gmail.com,,19.84156,-90.54046,http://sic.gob.mx/ficha.php?table=museo&table_id=1749,11/22/2018 06:43,
739,Museo de Arqueología Maya. Fuerte de San Miguel,Arqueología,10/1/1965,Secretaría de Cultura/INAH,4,Campeche,2,Campeche,1,San Francisco de Campeche,"Av. Escénica s/n, Carr. Campeche-Lerma",,24039,981 816 9136 ,,,museos.camp@inah.gob.mx; iliana_pozos@inah.gob.mx,,19.82467,-90.56847,http://sic.gob.mx/ficha.php?table=museo&table_id=739,12/12/2023 05:32,
2009,Museo de Arqueología Subacuática Fuerte de San José El Alto,,12/7/2017,Secretaría de Cultura/INAH,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 5 por Av. Francisco Morazán s/n,Col. San José El Alto,24026,981 816 91 36 ext. 138036,,,museos.camp@inah.gob.mx,INAHCampeche,19.86056,-90.51048,http://sic.gob.mx/ficha.php?table=museo&table_id=2009,12/12/2023 05:33,
1962,Museo del Centro Cultural Casa 6,Historia,5/1/2000,Secretaría de Turismo de Campeche,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 57 núm. 6 entre 8 y 10,Centro,24000,55 1174 3040,https://www.mexicoescultura.com/recinto/56982/centro-cultural-casa-6.html,,emilio.vazquez@campeche.gob.mx,,19.84561,-90.53737,http://sic.gob.mx/ficha.php?table=museo&table_id=1962,5/4/2023 02:52,
1814,Museo de Arte Sacro (Capilla de Jesús de Nazareno),Arte,1/1/2002,Catedral de Nuestra Señora de la Purísima Concepción,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 55 entre 10 y 8,Centro,24000,(981) 816 31 44,,,hola@TurismoCampeche.com,,19.84615,-90.53631,http://sic.gob.mx/ficha.php?table=museo&table_id=1814,1/15/2021 03:51,
1778,Museo El Palacio Centro Cultural,Historia,3/17/2015,Centro Cultural El Palacio/Secretaría de Cultura de Campeche,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 8 núm. 257,Centro,24000,981 811 03 66,,,museoelpalaciocc@gmail.com,,19.84615,-90.53747,http://sic.gob.mx/ficha.php?table=museo&table_id=1778,9/5/2022 07:54,
1601,Casa de la Tecnología de Campeche DGETI SECUD,Ciencia y tecnología,2/15/1995,"Secretaría de Educación, Cultura y Deporte de Campeche",4,Campeche,2,Campeche,1,San Francisco de Campeche,"Av. Casa de Justicia 12, PB",Col. Fracciorama 2000,24090,(981) 813 21 43,,http://www.somedicyt.org.mx/congreso_2003/Memorias/descargas_pdf/educacion_no_formal/descarga_ojeda_macossay.pdf,casa_tec_campeche@hotmail.com,,19.82404,-90.53054,http://sic.gob.mx/ficha.php?table=museo&table_id=1601,5/18/2018 13:32,
